region,population,area,cases1,deaths1,cases2,deaths2,cases3,deaths3,cases4,deaths4,cases5,deaths5,cases6,deaths6,cases7,deaths7,cases8,deaths8,cases9,deaths9,cases10,deaths10,cases11,deaths11,cases12,deaths12,cases13,deaths13,cases14,deaths14,cases15,deaths15,cases16,deaths16,cases17,deaths17,cases18,deaths18,cases19,deaths19,cases20,deaths20,cases21,deaths21,cases22,deaths22,cases23,deaths23,cases24,deaths24,cases25,deaths25,cases26,deaths26,cases27,deaths27,cases28,deaths28,cases29,deaths29,cases30,deaths30,cases31,deaths31,cases32,deaths32,cases33,deaths33,cases34,deaths34,cases35,deaths35,cases36,deaths36,cases37,deaths37,cases38,deaths38,cases39,deaths39,cases40,deaths40,cases41,deaths41,cases42,deaths42,cases43,deaths43,cases44,deaths44,cases45,deaths45,cases46,deaths46,cases47,deaths47,cases48,deaths48,cases49,deaths49,cases50,deaths50,cases51,deaths51,cases52,deaths52,cases53,deaths53,cases54,deaths54,cases55,deaths55,cases56,deaths56,cases57,deaths57,cases58,deaths58,cases59,deaths59,cases60,deaths60,cases61,deaths61,cases62,deaths62,cases63,deaths63,cases64,deaths64,cases65,deaths65,cases66,deaths66,cases67,deaths67,cases68,deaths68,cases69,deaths69,cases70,deaths70,cases71,deaths71,cases72,deaths72,cases73,deaths73,cases74,deaths74,cases75,deaths75,cases76,deaths76,cases77,deaths77,cases78,deaths78,cases79,deaths79,cases80,deaths80,cases81,deaths81,cases82,deaths82,cases83,deaths83,cases84,deaths84,cases85,deaths85,cases86,deaths86,cases87,deaths87,cases88,deaths88,cases89,deaths89,cases90,deaths90,cases91,deaths91,cases92,deaths92,cases93,deaths93,cases94,deaths94,cases95,deaths95,cases96,deaths96,cases97,deaths97,cases98,deaths98,cases99,deaths99,cases100,deaths100,cases101,deaths101,cases102,deaths102,cases103,deaths103,cases104,deaths104
Afghanistan,38928346,652860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,4,0,5,0,7,0,7,0,7,0,11,0,16,0,21,0,22,0,22,0,22,0,24,0,24,0,40,1,40,1,74,1,84,2,94,4,110,4,110,4,120,4,170,4,174,4,237,4,273,6,281,6,299,7,349,7,367,11,423,14,444,14,484,15,521,15,555,18,607,18,665,21,714,23,784,25,840,30,906,30,933,30,996,33,1026,36,1092,36,1176,40,1279,42,1351,43,1463,47,1531,50,1703,57,1828,58,1939,60,2171,64,2335,68,2469,72,2704,85,2894,90
Albania,2877797,27400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,12,1,23,1,33,1,38,1,42,1,51,1,55,1,59,2,64,2,70,2,76,2,89,2,104,4,123,5,146,5,174,6,186,8,197,10,212,10,223,11,243,15,259,15,277,16,304,17,333,20,361,20,377,21,383,22,400,22,409,23,416,23,433,23,446,23,467,23,475,24,494,25,518,26,539,26,548,26,562,26,584,26,609,26,634,27,663,27,678,27,712,27,726,28,736,28,750,30,766,30,773,31,782,31,789,31,795,31,803,31
Algeria,43851044,2381740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,5,0,12,0,12,0,17,0,17,0,19,0,20,0,20,0,20,0,24,1,26,2,37,3,48,4,54,4,60,4,74,7,87,9,90,11,139,15,201,17,230,17,264,19,302,21,367,25,409,26,454,29,511,31,584,35,716,44,847,58,986,86,1171,105,1251,130,1320,152,1423,173,1468,193,1572,205,1666,235,1761,256,1825,275,1914,293,1983,313,2070,326,2160,336,2268,348,2418,364,2534,367,2629,375,2718,384,2811,392,2910,402,3007,407,3127,415,3256,419,3382,425,3517,432,3649,437,3848,444,4006,450,4154,453,4295,459,4474,463,4648,465
Andorra,77265,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,39,0,39,0,53,0,75,0,88,0,113,1,133,1,164,1,188,1,224,3,267,3,308,3,334,6,370,8,376,12,390,14,428,15,439,16,466,17,501,18,525,21,545,22,564,23,583,25,601,26,601,26,638,29,646,29,659,31,673,33,673,33,696,35,704,35,713,36,717,37,717,37,723,37,723,37,731,40,738,40,738,40,743,40,743,41,743,42,745,42,745,43,747,44,748,45,750,45
Angola,32866272,1246700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,3,0,3,0,4,0,4,0,5,0,7,2,7,2,7,2,8,2,8,2,8,2,10,2,14,2,16,2,17,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,19,2,24,2,24,2,24,2,24,2,25,2,25,2,25,2,25,2,26,2,27,2,27,2,27,2,27,2,30,2,35,2,35,2,35,2
Antigua and Barbuda,97929,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,9,0,15,0,15,0,15,0,15,0,19,1,19,2,19,2,19,2,21,2,21,2,23,2,23,2,23,2,23,3,23,3,23,3,23,3,23,3,23,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,24,3,25,3,25,3,25,3,25,3
Argentina,45195774,2736690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,8,0,12,1,12,1,17,1,19,1,19,1,31,2,34,2,45,2,56,2,68,2,79,2,97,3,128,3,158,4,266,4,301,4,387,6,387,8,502,9,589,13,690,18,745,19,820,23,1054,27,1054,28,1133,36,1265,39,1451,43,1451,44,1554,48,1628,56,1715,63,1795,72,1975,82,1975,83,2142,90,2208,97,2277,102,2443,111,2571,115,2669,123,2758,129,2839,132,2941,136,3031,147,3144,152,3435,165,3607,176,3780,185,3892,192,4003,197,4127,207,4285,214,4428,218,4532,225,4681,237,4783,246,4887,260
Armenia,2963243,28470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0,8,0,18,0,26,0,52,0,78,0,84,0,115,0,136,0,160,0,194,0,235,0,249,0,265,0,290,1,329,1,407,1,424,3,482,3,532,3,571,4,663,7,736,7,770,7,822,7,833,8,853,8,881,9,921,10,937,12,967,13,1013,13,1039,14,1067,16,1111,17,1159,18,1201,19,1248,20,1291,20,1339,22,1401,24,1473,24,1523,24,1596,27,1677,28,1746,28,1808,29,1867,30,1932,30,2066,32,2148,33,2273,33,2386,35,2507,39
Australia,25499884,7682300,0,0,0,0,0,0,0,0,4,0,5,0,5,0,6,0,9,0,9,0,12,0,12,0,12,0,13,0,13,0,14,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,25,0,27,1,30,1,39,1,52,2,55,2,60,2,63,2,76,3,91,3,107,3,128,3,128,3,200,3,250,3,297,3,377,3,452,5,568,6,681,6,791,7,1071,7,1549,7,1682,7,2044,8,2364,8,2810,13,3143,13,3640,14,3984,16,4361,17,4559,18,4862,20,5116,24,5330,28,5550,30,5687,35,5797,40,5895,45,6010,50,6108,51,6215,54,6303,57,6315,60,6351,61,6415,62,6440,63,6462,63,6522,66,6568,67,6610,67,6623,67,6645,67,6652,67,6662,75,6677,79,6694,80,6714,83,6721,83,6744,89,6752,91,6766,93,6778,93,6799,94,6822,95,6847,96
Austria,9006398,82409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,9,0,14,0,18,0,21,0,29,0,41,0,55,0,79,0,104,0,131,0,182,0,246,0,302,1,504,1,655,1,860,1,1018,3,1332,3,1646,4,2013,6,2388,6,2814,8,3582,16,4474,21,5283,28,5588,30,6909,49,7657,58,8271,68,8788,86,9618,108,10180,128,10711,146,11129,158,11524,168,11781,186,12051,204,12297,220,12639,243,12942,273,13244,295,13555,319,13806,337,13945,350,14041,368,14226,384,14336,393,14476,410,14595,431,14671,443,14749,452,14795,470,14873,491,14925,510,15002,522,15071,530,15148,536,15225,542,15274,549,15357,569,15402,580,15452,584,15531,589,15558,596,15597,598,15621,600
Azerbaijan,10139177,82658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,6,0,6,0,9,0,9,0,9,0,11,0,11,0,11,0,15,1,15,1,23,1,28,1,28,1,28,1,44,1,44,1,53,1,65,1,72,1,87,1,93,2,122,3,165,3,182,4,209,4,273,4,298,5,359,5,400,5,443,5,521,5,584,7,641,7,717,8,822,8,926,9,991,10,1058,11,1098,11,1148,12,1197,13,1253,13,1283,15,1340,15,1373,18,1398,19,1436,19,1480,20,1518,20,1548,20,1592,21,1617,21,1645,21,1678,22,1717,22,1766,23,1804,24,1854,25,1894,25,1932,25,1984,26
Bahamas,393244,10010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,3,0,4,0,4,0,4,0,5,0,5,0,9,0,10,0,10,0,11,0,14,0,14,0,21,1,24,1,24,1,28,4,28,4,29,5,33,6,40,7,41,8,42,8,46,8,46,8,47,8,49,8,49,8,53,8,54,9,55,9,55,9,60,9,65,9,65,9,72,11,73,11,78,11,80,11,80,11,80,11,80,11,81,11,81,11,83,11,83,11,83,11
Bahrain,1701575,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,33,0,33,0,36,0,41,0,47,0,49,0,49,0,52,0,55,0,60,0,85,0,85,0,95,0,110,0,195,0,195,0,195,0,210,0,214,0,214,1,228,1,256,1,278,1,285,1,305,1,334,2,377,2,392,3,419,4,458,4,466,4,476,4,499,4,515,4,567,4,569,4,643,4,672,4,688,4,700,4,756,4,811,5,823,5,887,5,925,6,1040,6,1136,6,1361,6,1528,7,1671,7,1700,7,1740,7,1773,7,1881,7,1907,7,1973,7,2027,7,2217,8,2518,8,2588,8,2647,8,2723,8,2811,8,2921,8,3040,8,3170,8,3284,8,3383,8,3533,8
Bangladesh,164689383,130170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,0,8,0,10,0,14,1,17,1,20,1,25,2,27,2,33,3,39,4,39,5,44,5,48,5,48,5,48,5,49,5,51,5,54,6,56,6,61,6,70,8,88,9,123,12,164,17,218,20,330,21,424,27,482,30,621,34,803,39,1012,46,1231,50,1572,60,1838,75,2144,84,2456,91,2948,101,3382,110,3772,120,4186,127,4689,131,4998,140,5416,145,5913,152,6462,155,7103,163,7667,168,8238,170,8790,175,9455,177,10143,182
Barbados,287375,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,5,0,6,0,14,0,17,0,18,0,18,0,18,0,24,0,26,0,33,0,33,0,34,0,34,0,46,0,51,0,52,0,56,1,60,2,63,3,63,3,66,3,67,4,68,4,71,4,72,4,72,4,73,5,75,5,75,5,75,5,75,5,75,5,75,5,75,5,76,6,77,6,79,6,79,6,80,6,80,6,80,7,81,7,81,7,81,7,82,7,82,7
Belarus,9449323,202910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,6,0,6,0,6,0,6,0,6,0,6,0,9,0,9,0,12,0,27,0,27,0,27,0,36,0,36,0,51,0,51,0,69,0,76,0,76,0,81,0,81,0,86,0,86,0,94,0,94,0,94,0,152,0,152,1,163,2,304,4,351,4,440,5,562,8,700,13,861,13,1066,13,1486,16,1981,19,2226,23,2578,26,2919,29,3281,33,3728,36,4204,40,4779,42,4779,45,4779,47,6264,51,6723,55,7281,58,8022,60,8773,63,9590,67,10463,72,11289,75,12208,79,13181,84,14027,89,14917,93,15828,97,16705,99,17489,103
Belgium,11589623,30280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,8,0,13,0,23,0,50,0,109,0,169,0,200,0,239,0,267,0,314,3,314,3,559,3,689,4,886,4,1058,5,1243,10,1486,14,1795,21,2257,37,2815,67,3401,75,3743,88,4269,122,4937,178,6235,220,7284,289,9134,353,10836,431,11899,513,12775,705,13964,828,15348,1011,16770,1143,18431,1283,19691,1447,20814,1632,22194,2035,23403,2240,24983,2523,26667,3019,28018,3346,29647,3600,30589,3903,31119,4157,33573,4440,34809,4857,36138,5163,37183,5453,38496,5683,39983,5828,40956,5998,41889,6262,42797,6490,44293,6679,45325,6917,46134,7094,46687,7207,47334,7331,47859,7501,48519,7594,49032,7703,49517,7765,49906,7844,50267,7924
Benin,12123200,112760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,9,0,13,0,13,0,16,0,16,0,22,0,26,1,26,1,26,1,26,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,35,1,54,1,54,1,54,1,54,1,54,1,54,1,64,1,64,1,64,1,64,1,64,1,90,2,90,2,90,2,96,2
Bhutan,771608,38117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,4,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
Bolivia,11673021,1083300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,10,0,10,0,11,0,11,0,12,0,12,0,15,0,19,0,24,0,27,0,29,0,32,0,43,0,61,0,74,0,81,1,97,4,107,6,115,7,123,8,132,9,139,10,157,10,183,11,194,14,210,15,264,18,268,19,275,20,300,24,330,27,354,28,397,28,441,29,465,31,493,31,520,32,564,33,598,34,609,37,703,43,807,44,866,46,950,50,1014,53,1014,53,1110,59,1110,59,1229,66,1229,66,1594,76,1681,82
Bosnia and Herzegovina,3280819,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,3,0,3,0,5,0,7,0,11,0,13,0,18,0,24,0,25,0,26,0,38,0,63,0,89,0,93,1,126,1,136,1,166,3,176,3,191,3,237,4,258,5,323,6,368,10,420,13,459,13,533,16,579,17,624,21,654,23,674,29,764,33,804,34,858,35,901,36,946,37,1009,39,1037,39,1083,40,1110,41,1167,43,1214,46,1268,47,1285,48,1309,49,1342,51,1368,53,1413,54,1421,55,1486,57,1516,59,1565,60,1585,63,1677,65,1757,69,1781,70,1839,72,1857,77,1926,78
Brazil,212559417,8358140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,2,0,2,0,4,0,4,0,13,0,13,0,20,0,25,0,31,0,38,0,52,0,151,0,151,0,162,0,200,0,321,1,372,3,621,6,793,11,1021,15,1546,25,1924,34,2247,46,2554,59,2985,77,3417,92,3904,111,4256,136,4579,159,5717,201,6836,240,8044,324,9056,359,10360,445,11130,486,12161,564,14034,686,16170,819,18092,950,19638,1057,20727,1124,22192,1223,23430,1328,25262,1532,28320,1736,30425,1924,33682,2141,36658,2354,38654,2462,40743,2587,43079,2741,45757,2906,50036,3331,54043,3704,59324,4057,63100,4286,67446,4603,73235,5083,79685,5513,87187,6006,92202,6412,97100,6761,101826,7051,108620,7367
Brunei,437479,5270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,11,0,37,0,40,0,50,0,54,0,56,0,68,0,75,0,78,0,83,0,88,0,91,0,104,0,109,0,114,0,115,0,120,1,126,1,127,1,129,1,131,1,133,1,134,1,135,1,135,1,135,1,135,1,135,1,135,1,136,1,136,1,136,1,136,1,136,1,136,1,136,1,136,1,137,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1,138,1
Bulgaria,6948445,108560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,7,1,7,1,23,1,41,2,51,2,52,2,67,2,92,2,94,3,127,3,163,3,187,3,201,3,218,3,242,3,264,3,293,3,331,7,346,8,359,8,399,8,422,10,457,10,485,14,503,17,531,20,549,22,577,23,593,24,618,24,635,25,661,28,675,29,685,32,713,35,747,36,800,38,846,41,878,41,894,42,929,43,975,45,1024,49,1097,52,1234,54,1247,55,1300,56,1363,58,1399,58,1447,64,1506,66,1555,68,1594,72,1618,73,1652,78
Burkina Faso,20903273,273600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,3,0,15,0,15,0,20,1,33,1,40,1,64,2,75,4,99,4,114,4,146,4,152,7,180,9,207,11,222,12,246,12,261,14,282,16,288,16,302,16,318,16,345,17,364,18,384,19,414,23,443,24,443,24,484,27,497,27,497,27,528,30,542,32,546,32,557,35,565,36,576,36,581,38,600,38,609,39,616,41,629,41,629,41,632,42,635,42,638,42,641,43,645,43,649,44,652,44,662,45,672,46
Cabo Verde,555987,4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,3,0,3,1,4,1,4,1,5,1,5,1,6,1,6,1,6,1,6,1,6,1,6,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,8,1,8,1,10,1,11,1,56,1,56,1,56,1,58,1,61,1,67,1,68,1,73,1,82,1,88,1,90,1,106,1,109,1,114,1,114,1,121,1,122,1,152,2,165,2,175,2
Cambodia,16718965,176520,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,3,0,3,0,5,0,7,0,7,0,7,0,33,0,35,0,37,0,51,0,53,0,84,0,87,0,91,0,96,0,96,0,99,0,99,0,103,0,107,0,109,0,109,0,110,0,114,0,114,0,114,0,114,0,115,0,117,0,119,0,119,0,120,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0,122,0
Cameroon,26545863,472710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,4,0,10,0,10,0,13,0,20,0,27,0,40,0,56,0,66,0,75,1,75,1,91,2,91,2,139,6,139,6,193,6,233,6,306,7,509,8,555,9,650,9,658,9,658,9,730,10,730,10,820,12,820,12,820,12,820,12,848,14,848,17,996,22,996,22,1017,22,1017,42,1163,42,1163,43,1163,43,1334,43,1430,43,1518,53,1621,56,1705,58,1705,58,1832,61,1832,61,1832,61,2077,64,2077,64,2104,64
Canada,37742154,9093510,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,2,0,4,0,4,0,4,0,4,0,4,0,5,0,5,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,8,0,8,0,8,0,8,0,9,0,9,0,9,0,10,0,11,0,11,0,13,0,14,0,20,0,24,0,27,0,30,0,33,0,37,0,49,0,54,0,64,0,77,1,79,1,108,1,117,1,193,1,198,1,252,1,415,4,478,5,657,8,800,9,943,12,1277,19,1469,20,2088,24,2790,25,3251,29,4038,37,4678,53,5571,60,6275,63,7393,79,8521,100,9553,108,11276,138,12429,178,12968,217,15746,258,16552,338,17860,374,19129,406,20642,502,22046,556,23303,653,24286,713,25667,780,27022,900,28196,1007,30796,1258,32801,1355,34342,1400,35619,1564,37642,1726,39386,1909,41647,2077,43283,2240,44903,2401,46355,2570,48017,2686,49600,2840,51134,2982,52849,3154,54441,3309,56326,3536,57909,3683,60487,3794,61940,4002
